zeit,symbol,mint,grund,alter_h,mcap,liq,holder,holder_1h_pct,netto_kaeufer_5m,preis_usd
2026-09-26 02:46:04,YELLOW,6wUEFWYBvSTV685mk6Kb4xDpE8q6MvTveUJ3DN5Hn8Ui,STORY_ZU_ALT,71.61,80615,6034,712,-0.3,2,8.92768114789e-05
2026-09-26 02:46:04,SUCCESSKID,3qbBseQzxKjqgpY17KDzdrX3bFEjVLizZP7iEURC21mn,STORY_ZU_ALT,206.77,5317,1395,167,2.5,5,5.53576257e-06
2026-09-26 02:46:04,BACKD,2pPPGoFjQtkFjGkwDDUfVofdgEUrFZEiU6D8SuedZupM,STORY_ZU_ALT,248.83,182541,20918,466,0.4,0,0.000182764727975
2026-09-26 02:46:04,HUHCAT,A9AHYeqb7nQk7LZUraw7rBCzYRjy2DRvE6NqWfFHKRdH,STORY_ZU_ALT,265.63,154113,26168,3316,0.2,3,0.000160556818146
2026-09-26 02:46:04,LILVADER,DBFcomeF97mTgRoKvHj2YtdFdvFcrLP4pFTBEPpKpump,STORY_ZU_ALT,29.67,29874,6170,201,-3.8,7,3.13341584221e-05
2026-09-26 02:46:04,LEVERCAT,AGi2s9zPRPHs3zEDPhPTroumTEXK5ufymYSfEFndCSSW,STORY_ZU_ALT,447.44,1547840,150061,5042,-0.1,5,0.00155764728149
2026-09-26 02:46:04,Clash,6nR8wBnfsmXfcdDr1hovJKjvFQxNSidN6XFyfAFZpump,STORY_ZU_ALT,9002.15,10095157,207429,9993,-0.0,0,0.0100983128678
2026-09-26 02:46:04,o,BGtTkNXH8kqUW6cSZzEm8XyMMzZoQDuxZTFijz7ETW9c,VERBREITUNG_STOCKT,1.95,51217,10932,314,-9.0,5,5.12178426341e-05
2026-09-26 02:46:04,BP,BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy,STORY_ZU_ALT,4601.54,334850320,5091048,25009,-0.3,17,1.33940127911
2026-09-26 02:46:04,MPLX,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,STORY_ZU_ALT,20108.74,31277710,2457103,24961,0.0,22,0.0663494851643
2026-09-26 02:46:04,sUSDai,sUSDai6Y3GxysDEtA9BVcEFTaog6UZpYUVxJiMhAKYE,KEIN_ALTER,,15241155,9756436,72,0.0,2,1.11542095047
2026-09-26 02:46:04,xORCA,xorcaYqbXUNz3474ubUMJAdu2xgPsew3rUCe5ughT3N,STORY_ZU_ALT,8673.51,14785425,45343,2155,0.0,0,2.72647713159
2026-09-26 02:46:04,parafactual,CvUX4G2tzq7J3ECmNvWZLayZYV6KpgQp6SJ5K8Uvsu5g,STORY_ZU_ALT,50.84,2475461,155626,2273,4.4,32,0.00262660257674
2026-09-26 02:46:04,jellyjelly,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,STORY_ZU_ALT,14499.28,61541023,2898111,33255,0.0,0,0.0615430938658
2026-09-26 02:46:04,HNT,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,STORY_ZU_ALT,23402.38,96851196,304918,537773,0.0,3,0.504837165254
2026-09-26 02:46:04,SOLO,SoLo9oxzLDpcq1dpqAgMwgce5WqkRDtNXK7EPnbmeta,STORY_ZU_ALT,7472.99,9498883,1968090,3236,-0.0,0,0.902566805675
2026-09-26 02:46:04,Jimothy,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,STORY_ZU_ALT,1726.14,7266376,508119,32040,0.1,8,0.00726692186253
2026-09-26 02:46:04,WOJAK,8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,STORY_ZU_ALT,7850.58,3249032,328539,19983,0.1,9,0.00324952463992
2026-09-26 02:46:04,STEVEWILLDOIT,3pVv9iav75CfaVb2YFLtX1ijYDXSEPLmweWxUYp8q8nG,SCHON_GELAUFEN,0.46,139436,15693,1323,6863.2,243,0.000142257416203
2026-09-26 02:46:04,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,STORY_ZU_ALT,21772.65,45866219,10908556,158851,0.0,1,0.000516014771607
2026-09-26 02:46:04,CRIME,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,STORY_ZU_ALT,16411.34,8204694,313723,2503,-0.9,0,0.00932460880093
2026-09-26 02:46:04,PYTH,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,STORY_ZU_ALT,24965.72,581341651,510982,307235,0.0,5,0.0738215427019
2026-09-26 02:46:04,BOAR,Hk8Uiq8CeNdmZzu1aPaT7MhvujtJifFS9kKhfpXmpaid,STORY_ZU_ALT,245.57,353276,36415,1116,18.0,12,0.000375337233746
2026-09-26 02:46:04,CALI,8k4sBtEeK4pf26noKqApv8NBTnuSJcbdwpKYknk5PbAA,STORY_ZU_ALT,206.55,2905335,217218,4146,-0.5,3,0.002932574092
2026-09-26 02:46:04,ZACHXBT,CXjk1R53rpzwbG3BMx8w1HZW6S3f6UnbnexUxzb9paid,STORY_ZU_ALT,245.58,237464,22280,572,145.5,48,0.000256745424624
2026-09-26 02:46:04,MAX,AzMaYSmHBqoLPmRRg5AqBr2zsw1MiXmTNaYtkj3wtqNg,SCHON_GELAUFEN,1.44,84432,11555,218,21700.0,57,8.68454330749e-05
2026-09-26 02:46:04,ANTIFUND,H6bdwt34zKNGmhUNa8xkEQWMVR4nj5Ncw13RCbH7moNr,ZU_JUNG,0.19,64904,10090,412,1691.3,47,6.66978591131e-05
2026-09-26 02:46:04,KMNO,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,STORY_ZU_ALT,21106.44,234199844,2617356,55278,0.0,5,0.0417091670809
2026-09-26 02:46:04,FEELSGOOD,HgcxVs6kJhPAaGqnPNGaa7zYgNT49hJrLufiqcNMuYZT,STORY_ZU_ALT,173.30,2007201,178764,7692,0.3,1,0.00201231898853
2026-09-26 02:46:04,RICHARD,4NU72sJZTxPPhGaYPUyeYpMBnE86Bh8H24tJJSwibWZr,VERBREITUNG_STOCKT,0.99,8618,2488,586,1853.3,2,8.81426911732e-06
2026-09-26 02:46:04,dbatura,HqpDva4NgV5WxovPEGcZMAjy9r87eKj8f9qmrY83wcKf,SCHON_GELAUFEN,0.81,33622,6625,262,1646.7,12,3.48394083682e-05
2026-09-26 02:46:04,NVDAx,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,STORY_ZU_ALT,10936.52,72330418,2987885,112907,0.7,5,224.754649483
2026-09-26 02:46:04,PANTS,FtateF34Xzawa91bpbVNdX72hZYo9cymRDYqBreHHbJi,STORY_ZU_ALT,905.32,152427,24129,3934,0.1,3,0.000155397952234
2026-09-26 02:46:04,PSYOPANIME,6nNdopDSgM5vn2hTgfWWkM9xE5fqZ6NqhJSBBygveNc8,ZU_JUNG,0.24,28071,6100,452,786.3,231,2.94560635042e-05
2026-09-26 02:46:04,PRAXIS,9FjBTDubXmk7VWKhk7MN5yFiNgnLxQuhRE2dp49nHxu4,STORY_ZU_ALT,225.43,49257,9193,287,14.3,1,5.15276868185e-05
2026-09-26 02:46:04,X7,CdhZy8wrRxNxoV8HtoByXKN7mvS46avtuZ1b39tKfx7,STORY_ZU_ALT,94.76,557197,77425,1841,0.5,1,0.000629335307539
2026-09-26 02:46:04,WEED,3SCi94ePA14dVj8XvM3jAFWPmCWs3p9zEsXRgdELPXfY,STORY_ZU_ALT,72.51,109680,13234,720,102.2,1,0.000109680678422
2026-09-26 02:46:04,TEXTIT,udPEzBjbGMzYZbuLtByqLYhc4TEs6EebG8R7fwdpump,STORY_ZU_ALT,875.65,9041238,170796,7293,0.0,2,0.00913099700637
2026-09-26 02:46:04,SMOLTING,F6zfsLSoDm3xnm9z6a8VNiRgsCuPqa4AbARKDdMC2SMs,SCHON_GELAUFEN,0.88,19311,4536,111,1010.0,8,2.04677594627e-05
2026-09-26 02:46:04,N3ON,DbDDz5ioLb4QkaWrFL2PgVtv8zz6YDWn7fn715pmYUU6,ZU_JUNG,0.22,19565,4798,323,2591.7,129,2.10037285936e-05
2026-09-26 02:46:04,Chud,6yjNqPzTSanBWSa6dxVEgTjePXBrZ2FoHLDQwYwEsyM6,STORY_ZU_ALT,20108.76,1415222,185017,6815,0.0,0,0.00152684833337
2026-09-26 02:46:04,a/aut,56aJJAoXnWstEGA6zx6k6mrgdd6hVMN99sfwUtQfrNW3,VERBREITUNG_STOCKT,0.43,13708,3454,328,6460.0,43,1.43233336775e-05
2026-09-26 02:46:04,VWA,GJvLcMvQwznh1gAonWnqbqdSRrNCQmVzhfsZVvQdtM4b,STORY_ZU_ALT,8621.53,865975,52065,35472,-0.0,1,0.000866169721126
2026-09-26 02:46:04,ALON,8XtRWb4uAAJFMP4QQhoYYCWR6XXb7ybcCdiqPwz9s5WS,STORY_ZU_ALT,20108.42,4238406,451426,19327,0.0,1,0.00428497069569
2026-09-26 02:46:04,PENIS,JE3HT7SbCgXDQWV6xp3oiiAisDzq4HyZ8wyEVBDCs45Z,STORY_ZU_ALT,388.09,881360,54522,2078,0.1,0,0.000881423831263
2026-09-26 02:46:04,PAIDCAT,7xwPE6M7h19FT5U7pd6HejjNmrh3rDSMFCoAwibVCRwT,STORY_ZU_ALT,244.86,91155,15043,957,4.4,21,9.24263079301e-05
2026-09-26 02:46:04,GROK,5A6CJfJfgupDh5J2s26NUisY5xwC6BpDAndDiye7tS5a,STORY_ZU_ALT,246.60,63002,11455,449,3.2,7,6.39095282065e-05
2026-09-26 02:46:04,Tulip,7vSG4GX8qz5V36noSde5Z9xV8xAXAGqivDyaNytPVDJf,STORY_ZU_ALT,320.63,104691,15165,2530,0.3,1,0.000104695939624
2026-09-26 02:46:04,CHUDDY,6sSUwszKeT4WJJwEFCFMsuvwo1oGKkJHXioj56aZ4iJC,STORY_ZU_ALT,35.75,537751,41390,406,-0.5,3,0.000537757553966
2026-09-26 02:46:04,ANONCOIN,D25bi7oHQjqkVrzbfuM6k2gzVNHTSpBLhtakDCzCCDUB,STORY_ZU_ALT,11119.12,3382066,89219,2887,0.0,0,0.00347061942177
2026-09-26 02:46:04,GROKPOD,9NyBpUhofRBe9VDCLDDEYhPDYBPcEiYfQDaGnUFrjDwt,STORY_ZU_ALT,189.92,55536,9528,374,97.9,44,5.89712409598e-05
2026-09-26 02:46:04,SEYONG,7JgQ6c8sXqKJmx3fx4cA57sogVzg3YwyiZAYi3zBAF5,STORY_ZU_ALT,241.89,15462,3875,100,156.4,13,1.65826368362e-05
2026-09-26 02:46:04,DKNG,DKNGQFNGQmoBdXSRGKJ8tTu7uPDasw5JDcfMmWniNfow,STORY_ZU_ALT,349.78,640296,306416,15089,-0.3,1,22.0783933671
2026-09-26 02:46:04,JBMB,AHFXxCjJmgsK9PtGsHrdAAG9yKip8xAM89SvGJ4Dmoon,STORY_ZU_ALT,9286.59,836987,41693,3037,0.3,3,0.000836993977095
2026-09-26 02:46:04,TOGI,FyHsX7zpFFMcU6FghgM6ZBs2jgzwSgkQ5whnJitwNGhq,STORY_ZU_ALT,245.01,24539,5282,161,18.4,4,2.52189866717e-05
2026-09-26 02:46:04,LLY,LLYuwZ33keFihgwoxXsBawy31AiRFLFSva32TYq5TvD,STORY_ZU_ALT,877.22,208100,40823,3218,0.1,0,1190.6020296
