token_address,pair_address,symbol,entry_time,entry_price_usd,peak_price_usd,sol_invested,amount_tokens,status,exit_time,exit_price_usd,pnl_usd,pnl_sol,exit_reason
2Lt9MAeEdVyVCviZnEsDj9H3qn8KGjExaGud6yHT5ekj,GrS5nspLFZmfWofVM11EoueG7gAoPJLH5daxS4xY8w9q,ZECBALL,2026-09-09 22:52:32,3.991e-05,5.342e-05,0.25,637496.867952894,CLOSED,2026-09-09 22:53:38,4.452e-05,2.94,0.0289,TRAILING_SL (11.6%)
JE3HT7SbCgXDQWV6xp3oiiAisDzq4HyZ8wyEVBDCs45Z,AXTq4JHNYHSnooqjoDmtL9WW5eEgnkkMSWq76Kznidnz,PENIS,2026-09-09 22:59:13,0.0002414,0.0003527,0.25,105395.60894780446,CLOSED,2026-09-09 23:01:12,0.0003153,7.79,0.0765,TRAILING_SL (30.6%)
divVYQRKhTBYm2BSqRM4MBxJbEDQqxX1xh4SrxJaEFz,4Cn5EUsT8fvr34kVSm7N9piUuXftkpfRKX8bAzTpByRm,DIVVY,2026-09-09 23:37:43,5.04e-05,5.083e-05,0.25,504811.50793650793,CLOSED,2026-09-09 23:38:45,4.109e-05,-4.7,-0.0462,SL_HIT (-18.5%)
FUFSKYVuJiPJtnw73facn9bax27Cz3cEr7RvtFoBpump,ExaEn8sHYsQ4MFoTxxpc8BvguRLqVPrkPqQQSnX4CX2q,bull call,2026-09-09 23:57:41,0.0001424,0.0001481,0.25,178669.2415730337,CLOSED,2026-09-09 23:59:55,0.0001191,-4.16,-0.0409,SL_HIT (-16.4%)
2ZmBm5CGDWYx9k1MqqUfLk8jwyRPAoiC4Komei3Upump,54y1RrhqsgwkwjtvJpSgBdycKoZg9jCdco4kZi7TMVVM,BULLTOP,2026-09-10 00:12:40,4.478e-05,7.163e-05,0.25,568166.5922286735,CLOSED,2026-09-10 00:16:49,7.163e-05,15.26,0.1499,TP_HIT (+60.0%)
DSqdh6CWHi1dy6SEwJKsF9Ep6tWDDRk4o7bipHcMLrRm,83wbKkKc6TAXy2j5i6qDy74WAh5JecDECkvsLSzj5ki,MEAT,2026-09-10 00:17:49,5.296e-05,8.742e-05,0.25,480409.74320241687,CLOSED,2026-09-10 00:20:49,8.742e-05,16.55,0.1627,TP_HIT (+65.1%)
6zt9iRREDvVAtqh3zAugh5Wo4ePRgmrwJkAGnT7Wpump,AhhXhGuTdhnf2WkiUqTzjZwR7tBdgXS3KfqVcKPSJRop,CatWifPump,2026-09-10 00:20:49,0.0001811,0.0001979,0.25,140488.68028713416,CLOSED,2026-09-10 00:24:01,0.0001444,-5.16,-0.0507,SL_HIT (-20.3%)
5uoAcnREXaVUwG2V7PnoA6fKy4EdAar5mChr3Xh5wig,9wD3YGTDMjQCE8QsKqaV8YvXd7CBr5ULWBwWqkbTqGtm,METBOI,2026-09-10 00:25:12,2.753e-05,2.753e-05,0.25,924173.628768616,CLOSED,2026-09-10 00:25:12,2.097e-05,-6.06,-0.0596,SL_HIT (-23.8%)
BnFAtjxuY6gTJyTgUtKrAa1VRGcE6GMzWv4287TRpump,B4ys87bvwRsoGTkgVYnViEGDgimb5DBetzLaPoUZusyV,S&P500,2026-09-10 00:33:55,0.0001339,0.0001649,0.25,190011.20238984315,CLOSED,2026-09-10 00:45:43,0.0001649,5.89,0.0579,TIME_PROFIT_TAKE (+23.2%)
EHBFmb6fYUSyBDpjWwz1ie3c1jHeKG714qcCRAoSSTNK,7qeK8L3Eb5VUN8xQPzgLC8Z1xeWfY2BKFDY5mB5ZfHBW,BTC,2026-09-10 00:35:17,6.446e-05,6.446e-05,0.25,394702.1408625504,CLOSED,2026-09-10 00:36:56,5.06e-05,-5.47,-0.0538,SL_HIT (-21.5%)
B3s2eaFZFcbFPEjAgqpC6ZDqHSqZBqdPPXkpM85Ne7Wi,DWhR5zmA5mBoUQHgZrymHSfNhPgTDTT7kfuQetmPMjUr,FUCKPUMP,2026-09-10 00:36:23,0.0001109,0.0001152,0.25,229418.3949504057,CLOSED,2026-09-10 00:48:22,8.944e-05,-4.92,-0.0484,SL_HIT (-19.4%)
BWt1q32Fk3YChYETjBDVrkyeXeG8824SCAZy5rZyBTxF,Hko3NMQHe7Tg4qrCGbpnrYBWoNrsnQmKzJGxFgWDwgAS,PUSSY,2026-09-10 00:57:25,4.71e-05,6.679e-05,0.25,540180.467091295,CLOSED,2026-09-10 01:01:30,5.506e-05,4.3,0.0423,TRAILING_SL (16.9%)
FAtf1QNvt9gsmkHQG6bz1gUpMTny1vFua8HrSgchpump,7xscJZuLW9vb8XixyWscqnCvD8uW1vjGhPsPqQMETUXi,LUCKY,2026-09-10 01:27:18,4.029e-05,6.62e-05,0.25,631484.2392653263,CLOSED,2026-09-10 01:27:59,6.62e-05,16.36,0.1608,TP_HIT (+64.3%)
6uxa58qrPCuxWU2YfP3kfwM8DHViVaCBYm1q2zPGpump,3ccyLZzvLhpijt25p9p4kUBbTdSFwwgcLYMTPxezhJrS,BUTTCOIN,2026-09-10 02:20:10,0.0001173,0.0001173,0.25,216901.1082693947,CLOSED,2026-09-10 02:20:44,9.787e-05,-4.21,-0.0414,SL_HIT (-16.6%)
9iUVBSaRPt4TmE5CmTytg9UrqbWdSPnt2i2VEW4Fpump,6tKtHCf9rpTTCLycKJRtVQTdGLqhiqramNC9tT5VBmEJ,BULLIEVE,2026-09-10 02:20:43,4.046e-05,4.167e-05,0.25,628830.9441423628,CLOSED,2026-09-10 02:22:06,2.932e-05,-7.01,-0.0688,SL_HIT (-27.5%)
G8dmGbWTEFeK8Xmj5YaukwNsAKXCDEQfm11d5987crmZ,5quFXYLwTGgMHXiQvFciGYVE8ygR6fK13krG7zKLm5Kg,Plumber,2026-09-10 02:45:16,0.0001318,0.0001866,0.25,193038.69499241275,CLOSED,2026-09-10 02:46:31,0.0001676,6.91,0.0679,TRAILING_SL (27.2%)
AYW5wCz2VvwLLXhDyFzjNimAmkdyq4mdpwJ3J7AW3SpD,9F7jdZ7sSyJVPFSgadpbrLsVVuKTAra97HfcMmspBtRZ,ABTC,2026-09-10 03:39:03,3.529e-05,4.491e-05,0.25,720954.9447435533,CLOSED,2026-09-10 03:40:13,3.467e-05,-0.45,-0.0044,BREAK_EVEN (-1.8%)
3omusX5fZmLiYPBWX2b8yKcRxD9wCGwrYrhM4vVNpump,CXZ9vz6A7W1P7X6BWH9a8MKHpLXUngAz5L3HsqJBjR2g,basket,2026-09-10 03:41:54,0.0001379,0.0001801,0.25,184499.63741841915,CLOSED,2026-09-10 03:44:59,0.0001521,2.62,0.0257,TRAILING_SL (10.3%)
7wCM5K4ziHmrbjGe5QFhBqBME2fH82dn4Wfx8vhKSTNK,Hf41uzMphPjeYmxw16S4Tk8pg27BrNCoaEDeJ8e22SKX,BUTTPLUG,2026-09-10 04:01:46,0.000133,0.0002146,0.25,191296.992481203,CLOSED,2026-09-10 04:05:04,0.0002146,15.61,0.1534,TP_HIT (+61.4%)
Ci8pWuCV7SLucszdTRHzDpQGzgiHrS8n3TZEiruWpump,3gyxBM2U6oZ7nSbUApHCAvex43G4pzKxnyjyuNciVRLQ,SNOOFI,2026-09-10 04:04:31,9.083e-05,0.0001131,0.25,280111.19674116484,CLOSED,2026-09-10 04:07:11,7.732e-05,-3.78,-0.0372,BREAK_EVEN (-14.9%)
6eo3eNxMuSNyBgQNcm3dHi8wsxX17FYMYgGUyieLpump,5GLFqzjm5Z5o6kzRYoxNadYPgCe22Td5tZRydYoUWBS4,Dango,2026-09-10 04:10:03,0.0001319,0.0001708,0.25,192892.34268385137,CLOSED,2026-09-10 04:11:46,0.0001242,-1.49,-0.0146,BREAK_EVEN (-5.8%)
EWqzF8NSLSCAwGaWtCfX1riZVFWt4DiT1nFiYbwT7G1r,5hZF6NAVm5FF2bVEKE6MbaTSzdpf1QzvyNw5i9ZNijz8,CHURRO,2026-09-10 04:15:28,4.019e-05,4.251e-05,0.25,633055.4864394128,CLOSED,2026-09-10 04:17:43,3.126e-05,-5.65,-0.0555,SL_HIT (-22.2%)
GTUVAyrC5obw8X9gMygt4PeHop4UYCDzMVAYdnhQpump,55yqoUPdoRowbKfrjBXKPnXoZx9Yd2hQykJt2LVACx4c,CARELESS,2026-09-10 04:27:48,0.0001661,0.000245,0.25,153175.79771222154,CLOSED,2026-09-10 04:32:06,0.0002242,8.9,0.0874,TRAILING_SL (35.0%)
5jcfTAwf87JuVjtpSstkxzhSvuPG238QRFQLWUWkpump,CezVqx6oKUy9y8qnGZQwYMD35QomsNXJ3Hp5fR1tbstZ,StockWorld,2026-09-10 04:48:04,4.245e-05,4.68e-05,0.25,599352.1790341578,CLOSED,2026-09-10 04:50:32,3.3e-05,-5.66,-0.0557,SL_HIT (-22.3%)
2TyuHXqPL9CKPcLnP8NPjpizmePESMZP6nnewL7ZG1y3,4euwv314dz1QaFdPi1EeNJZU5sU66spWY7ARhMrjyshV,BOF,2026-09-10 04:49:26,5.197e-05,5.633e-05,0.25,489561.2853569367,CLOSED,2026-09-10 04:50:32,3.167e-05,-9.94,-0.0977,SL_HIT (-39.1%)
5jZ7mRN1WBVT33SFAPEoAhUMFSpQaqDu21tJL1qJpump,FrtuSTGhyUJPHvmRXaPTwTm7g2ihfYtPga6bgj2g1tbX,Brian,2026-09-10 04:52:54,6.484e-05,6.484e-05,0.25,392388.9574336829,CLOSED,2026-09-10 04:53:15,4.265e-05,-8.71,-0.0856,SL_HIT (-34.2%)
A8AdxR4WqCMvE9ZdzSGKtczGpUhYJ7EjcQXNF2YY5smj,JC5ADeGLYXN2UyZLf4PCPXhiBLYRrMYpmgyacAJFUbgk,Brian,2026-09-10 05:07:21,0.0006206,0.0006462,0.25,40996.61617789236,CLOSED,2026-09-10 05:10:22,0.00049,-5.35,-0.0526,SL_HIT (-21.0%)
4wmm49P3dgjmRhUx7hUS7fePTn3csSQzVXGxt6DKG113,96TnRrGCreVhwgaDRL2AnA1PfdAR18fyy7qRijhnpfU8,CLCTV,2026-09-10 05:17:25,4.854e-05,4.854e-05,0.25,524155.3358055212,CLOSED,2026-09-10 05:17:26,3.959e-05,-4.69,-0.0461,SL_HIT (-18.4%)
