timestamp,symbol,token_address,pair_address,dex,age_hours,gain_24h_pct,mcap_usd,liquidity_usd,vol_24h_usd,first_hour_max_gain_pct,deepest_dip_pct,top10_holder_pct,jup_price_impact_pct,rugcheck_score
2026-09-16 02:03:31,TRUMP,AL44bCBjmdXQzdzSacvsaMRNM8kkdA9hmymjb7eGSCeW,AGM7sDWzbyC934xqrDjySghD6VLEUgPworsxF9cvuzNY,PUMPSWAP,0.7,2096.0,876323.0,82028.3,2171220.06,0.0,0.0,21.3,-1.0,1
2026-09-16 10:24:25,PAID,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,6e3jZLtf4tQbWZm3f7A66jF8tfZn6MRQVrbDFgcNWarA,PUMPSWAP,15.0,23011.0,9126337.0,388579.65,50970846.79,3.8,-16.1,14.2,-1.0,1
2026-09-16 10:24:25,PAID,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,6xf7dn56P55zJEL9CoMDiDLqqTo7zF1dScEPqNZm92PF,METEORA,15.0,2374.0,9451294.0,118827.15,1967762.85,1.8,-27.7,14.2,-1.0,1
2026-09-16 10:24:25,DOGE2,DAHn4rnrnbPzfgNusjty1tp1MX6f76HLHtNH9muCdtKX,5yAQKL6Fph1ovdWY4xev3yiLvgS1fY8oGcuk7ToocpPa,PUMPFUN,16.3,757.0,25434.49,0.0,44755.86,11.1,-10.1,48.3,-1.0,1
2026-09-16 10:24:25,PAID,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,E3KKUkSFyNowRvqnTUu42wLnkjSwq446vidHrnC18fAE,METEORA,13.1,328.0,9437923.0,219007.49,4467310.07,10.5,-20.6,14.2,-1.0,1
2026-09-16 10:24:25,STONKFUND,2o33abPXbzETBPPzFG6Lr8B59wnUJ9WJem7TuNUkrjYb,4qAHhZDE36YkGemVEYBrdBfNykLkcZwgC4jmi68DxZno,PUMPSWAP,3.6,169.0,103711.0,25877.54,225935.25,0.0,0.0,103.8,-1.0,6289
2026-09-16 15:40:59,ELON,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,6tuhHpYSinf41V39KW3JmpVUaxehcabCbHZqqFnwR6xf,PUMPSWAP,20.2,4560.0,1749451.0,144106.3,14586378.77,37.0,-33.7,17.9,-1.0,1
2026-09-16 15:40:59,ELON,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,FrZsBHxt8bbBivLeLyRcGhtTJpy6XbLKHYHRecLS5SUg,METEORA,19.5,3347.0,1765026.0,12068.02,339209.27,39.0,-48.8,17.9,-1.0,1
2026-09-16 15:40:59,DOGE2,DAHn4rnrnbPzfgNusjty1tp1MX6f76HLHtNH9muCdtKX,5yAQKL6Fph1ovdWY4xev3yiLvgS1fY8oGcuk7ToocpPa,PUMPFUN,21.6,910.0,29966.13,0.0,65987.93,4.0,-7.1,48.3,-1.0,1
2026-09-16 15:40:59,Holdoween,BxftAowY2dVa2h9KMqDTPk4oMxzU9k6uVbZuoorXpump,Apy5FShcDSLdyYSH4HWgY8zSFj4At8FbKeHZF3D72e9k,PUMPSWAP,14.7,670.0,294933.0,44195.4,149795.69,22.3,-39.5,31.9,-1.0,1
